,id,timestamp,latitude,longitude,speed,direction
0,A0000,1288540918,39.80015564,116.5743179,0,26
1,A0000,1288540979,39.80015564,116.5743179,0,26
2,A0000,1288541039,39.80015945,116.5743179,0,26
3,A0000,1288541099,39.80017471,116.5743027,0,26
4,A0000,1288541160,39.80019379,116.5743027,0,352
5,A0000,1288541220,39.8001976,116.5743027,0,352
6,A0000,1288541280,39.80020142,116.5743027,0,352
7,A0000,1288541340,39.80023193,116.5743027,0,352
8,A0000,1288541401,39.80023956,116.5743027,0,352
9,A0000,1288541461,39.80024338,116.5742798,0,352
10,A0000,1288541521,39.80024719,116.5742798,0,352
11,A0000,1288541581,39.80025101,116.5742798,0,352
12,A0000,1288541642,39.80025482,116.5742645,0,352
13,A0000,1288541702,39.80025482,116.5742645,0,352
14,A0000,1288541762,39.80025101,116.5742645,0,352
15,A0000,1288541822,39.80025482,116.5742645,0,352
16,A0000,1288541883,39.80025864,116.5742645,0,352
17,A0000,1288542003,39.80024719,116.5742645,0,352
18,A0000,1288542064,39.80024338,116.5742645,0,352
19,A0000,1288542124,39.80025101,116.5742645,0,352
20,A0000,1288542184,39.80024719,116.5742645,0,352
21,A0000,1288542245,39.80022812,116.5742645,0,352
22,A0000,1288542305,39.80022049,116.5742645,0,352
23,A0000,1288542365,39.8002243,116.5742645,0,352
24,A0000,1288542426,39.80022812,116.5742645,0,352
25,A0000,1288542486,39.80023956,116.5742645,0,352
26,A0000,1288542546,39.80023956,116.5742645,0,352
27,A0000,1288542606,39.80023956,116.5742645,0,352
28,A0000,1288542667,39.80023575,116.5742645,0,352
29,A0000,1288542727,39.80023193,116.5742645,0,352
30,A0000,1288542787,39.80022812,116.5742645,0,352
31,A0000,1288542848,39.8002243,116.5742645,0,352
32,A0000,1288542908,39.80020905,116.5742645,0,352
33,A0000,1288542968,39.80020523,116.5742798,0,352
34,A0000,1288543028,39.80020523,116.5742798,0,352
35,A0000,1288543089,39.80019379,116.5742645,0,352
36,A0000,1288543149,39.80019379,116.5742798,0,352
37,A0000,1288543209,39.80019379,116.5742798,0,352
38,A0000,1288543270,39.80019379,116.5742798,0,352
39,A0000,1288543330,39.8001976,116.5742798,0,352
40,A0000,1288543390,39.8001976,116.5742798,0,352
41,A0000,1288543451,39.80018997,116.5742798,0,352
42,A0000,1288543511,39.80017853,116.5742798,0,352
43,A0000,1288543571,39.80015564,116.5742645,0,352
44,A0000,1288543631,39.80016327,116.5742645,0,352
45,A0000,1288543692,39.80018234,116.5742798,0,352
46,A0000,1288543752,39.80018997,116.5742798,0,352
47,A0000,1288543812,39.80018616,116.5742798,0,352
48,A0000,1288543872,39.80017853,116.5742798,0,352
49,A0000,1288543933,39.80018997,116.5742798,0,352
50,A0000,1288543993,39.80020142,116.5742798,0,352
51,A0000,1288544053,39.80020905,116.5742798,0,352
52,A0000,1288544114,39.8002243,116.5742798,0,352
53,A0000,1288544174,39.80021667,116.5743027,0,352
54,A0000,1288544234,39.80022812,116.5743027,0,352
